id,condition,activitymirror_PSA1,activitymirror_PSA2,activitymirror_PSA3,activitymirror_PSA4,activityreflect_PSA1,activityreflect_PSA2,activityreflect_PSA3,activityreflect_PSA4,activitysee_PSA1,activitysee_PSA2,activitysee_PSA3,activitysee_PSA4,believe_PSA1,believe_PSA2,believe_PSA3,believe_PSA4,cred_PSA1,cred_PSA2,cred_PSA3,cred_PSA4,imp_PSA1,imp_PSA2,imp_PSA3,imp_PSA4,modelmirror_PSA1,modelmirror_PSA2,modelmirror_PSA3,modelmirror_PSA4,modelreflect_PSA1,modelreflect_PSA2,modelreflect_PSA3,modelreflect_PSA4,modelsee_PSA1,modelsee_PSA2,modelsee_PSA3,modelsee_PSA4,muchlikeme_PSA1,muchlikeme_PSA2,muchlikeme_PSA3,muchlikeme_PSA4,new_PSA1,new_PSA2,new_PSA3,new_PSA4,peoplesimilar_PSA1,peoplesimilar_PSA2,peoplesimilar_PSA3,peoplesimilar_PSA4,recommend_PSA1,recommend_PSA2,recommend_PSA3,recommend_PSA4,think_PSA1,think_PSA2,think_PSA3,think_PSA4,unconv_PSA1,unconv_PSA2,unconv_PSA3,unconv_PSA4
P131,sports,4,4,3,4,4,4,4,5,3,5,4,4,5,5,5,4,4,4,4,4,3,4,4,4,3,5,4,4,4,5,4,5,3,4,3,4,4,4,4,4,2,5,3,2,3,5,5,5,2,1,3,2,3,5,3,4,2,1,2,2
P132,sports,1,3,4,2,2,2,4,4,4,4,2,4,5,5,4,5,5,1,4,5,4,4,4,4,1,2,2,2,2,3,2,3,1,3,3,3,2,4,2,2,4,3,3,3,2,4,4,3,2,1,2,1,3,3,2,3,1,2,2,1
P133,vape,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1,2,4,4,4,2,3,3,3,3,4,4,4,4,4,5,4,4
P136,vape,2,2,2,2,2,2,2,1,2,2,2,1,3,4,4,1,4,4,4,1,3,4,3,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,4,4,4,4,2,2,2,1,3,3,2,3,2,4,3,2,3,2,2,4
P137,novape,1,5,4,4,1,1,3,3,3,3,4,5,4,4,4,5,4,3,3,2,5,3,5,5,4,3,2,2,3,2,1,1,3,3,4,1,4,3,3,3,5,5,5,4,3,3,3,4,1,2,2,1,5,4,3,5,3,2,1,2
P138,smoke,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,4,1,4,1,4,1,4
P139,novape,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,4,4,4,4,3,3,3,3,4,4,4,4,4,2,4,4
P140,novape,4,4,4,1,4,4,4,1,4,3,4,1,5,4,2,1,4,4,2,1,4,4,2,1,3,2,3,1,3,3,3,1,3,2,3,1,4,3,4,1,3,3,3,3,4,4,4,1,3,3,3,3,3,3,2,1,2,2,4,5
P141,novape,2,1,2,2,2,2,2,3,2,2,2,4,5,4,4,2,5,5,4,3,4,5,3,3,1,1,2,1,2,3,2,3,2,3,1,3,3,2,3,3,1,1,2,1,3,3,3,4,1,1,2,3,3,3,3,2,2,1,3,4
P142,sports,4,4,4,1,4,4,4,4,4,1,4,1,1,4,3,3,1,1,3,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,3,3,3,3,4,4,4,4,3,3,3,1,1,2,1,4,5,3,4,2
P143,sports,4,2,4,3,4,2,4,4,4,2,4,4,4,5,4,5,4,3,4,5,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,5,4,2,4,4,3,2,3,3,4,3,4,4,1,2,2,1,4,4,3,4,2,2,2,1
P144,sports,3,4,2,2,2,4,2,2,3,4,2,4,4,5,4,5,2,4,4,4,4,4,4,3,2,4,2,2,2,4,2,2,3,4,2,3,3,4,2,2,2,2,2,3,4,4,2,4,1,1,1,1,4,4,4,4,2,2,2,2
P147,novape,3,1,4,4,2,2,1,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,3,1,2,3,2,3,2,4,3,3,3,2,2,3,2,4,4,3,3,4,3,4,3,1,1,1,1,4,5,3,3,1,1,1,1
P148,vape,3,3,3,2,3,2,2,2,2,4,3,3,4,4,4,4,2,3,3,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,2,2,4,2,2,2,2,5,4,5,5,3,3,2,2
P149,vape,3,2,2,3,3,2,3,3,3,3,2,3,4,4,4,4,3,4,3,4,3,3,4,3,3,2,2,3,3,2,3,3,3,3,3,2,3,2,2,3,4,4,4,4,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,3
P150,novape,5,2,2,2,4,4,2,4,2,2,2,2,5,5,5,5,5,5,4,5,5,5,4,4,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,4,1,1,4,3,4,4,2,3,3,3,4,1,2,1,2,1,2,2
P151,vape,2,3,1,2,1,1,1,2,4,3,4,1,5,4,5,4,5,4,4,3,5,4,5,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,4,4,1,2,4,1,2,2,1,2,1,3,4,3,4,1,1,2,1,2
P152,vape,4,4,4,5,4,4,4,4,4,5,4,5,4,3,4,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,2,2,2,2,3,3,3,3,1,1,1,1,4,4,4,4,2,2,2,1
P153,vape,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P154,novape,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,1,4,4,1,1,3,2,2,3,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3,3,3,4,4,4,4,4,4,5,5
P155,vape,1,2,2,1,1,2,1,2,3,1,1,2,4,3,4,1,4,4,4,1,4,4,4,2,1,1,1,1,2,1,1,1,3,1,3,1,2,2,3,1,4,2,3,1,3,3,3,3,2,3,3,3,4,4,4,2,3,4,4,5
P156,vape,3,3,3,3,3,3,3,3,4,3,2,4,4,4,4,4,3,4,4,4,4,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,2,4,2,2,3,4,4,4,3,2,2,3,2,3,4,2,3,2,1,3
P157,vape,2,1,2,2,2,1,2,2,1,2,2,2,2,3,3,3,2,3,3,2,3,4,4,4,2,1,2,2,1,1,2,2,1,2,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,2,3,4,4,4,4,2,4
P158,vape,2,1,3,2,4,4,3,4,4,4,4,2,4,2,1,1,2,1,1,1,4,2,1,1,2,2,1,1,3,3,2,2,2,4,2,2,2,4,2,1,5,4,3,4,2,3,2,2,3,3,3,3,5,4,1,1,4,5,5,5
P159,vape,3,3,3,3,3,3,3,3,3,2,3,2,4,3,4,2,3,2,3,3,4,3,4,4,3,2,2,1,3,3,3,3,3,2,2,1,3,3,3,3,4,4,2,2,4,4,4,4,2,3,3,3,4,4,3,3,3,3,3,3
P160,vape,2,1,1,2,2,2,2,2,3,2,2,3,4,4,4,3,4,3,3,3,4,4,4,3,2,1,1,2,2,2,2,4,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,3,4,3,4,3,3,3,3
